Index|Question|SQL Query
1|How many unique pay groups are there?|SELECT COUNT(DISTINCT pay_group_name) AS unique_pay_groups FROM paygroup;
2|What is the total number of rows in the paygroup table?|SELECT COUNT(*) AS total_rows FROM paygroup;
3|How many pay groups have TRUE in the 'remote_was_deleted' column?|SELECT COUNT(*) AS pay_groups_with_remote_was_deleted FROM paygroup WHERE remote_was_deleted = TRUE;
4|What are the remote IDs of the pay groups with 'Temp' as the pay group name?|SELECT remote_id FROM paygroup WHERE pay_group_name = 'Temp';
5|Which pay groups are marked as 'Temp' and have not been deleted remotely?|SELECT * FROM paygroup WHERE pay_group_name = 'Temp' AND remote_was_deleted = FALSE;
6|What is the average number of remote IDs per pay group?|SELECT AVG(remote_id) AS average_remote_ids_per_paygroup FROM paygroup;
7|Which pay groups have an ID starting with '87f'?|SELECT * FROM paygroup WHERE id LIKE '87f%';
8|What is the maximum remote ID in the paygroup table?|SELECT MAX(remote_id) AS max_remote_id FROM paygroup;
9|What is the minimum remote ID among the pay groups marked as 'Full Time'?|SELECT MIN(remote_id) AS min_remote_id FROM paygroup WHERE pay_group_name = 'Full Time';
10|How many pay groups have both 'Contractor' as the pay group name and TRUE in the 'remote_was_deleted' column?|SELECT COUNT(*) AS pay_groups_with_contractor_and_remote_was_deleted FROM paygroup WHERE pay_group_name = 'Contractor' AND remote_was_deleted = TRUE;
11|What are the pay groups with IDs ending in '555'?|SELECT * FROM paygroup WHERE id LIKE '%555';
12|How many pay groups are marked as 'Full Time' and have been deleted remotely?|SELECT COUNT(*) AS pay_groups_with_full_time_and_remote_deleted FROM paygroup WHERE pay_group_name = 'Full Time' AND remote_was_deleted = TRUE;
13|What is the average length of the pay group IDs in the table?|SELECT AVG(LENGTH(id)) AS average_id_length FROM paygroup;
14|Which pay groups have a remote ID greater than 70000000?|SELECT * FROM paygroup WHERE remote_id > 70000000;
15|What is the sum of the remote IDs for all pay groups?|SELECT SUM(remote_id) AS total_remote_id_sum FROM paygroup;
16|Which pay groups have 'Temp' as the pay group name and have a remote ID less than 20000000?|SELECT * FROM paygroup WHERE pay_group_name = 'Temp' AND remote_id < 20000000;
17|How many pay groups have a pay group name that contains the word 'Contract'?|SELECT COUNT(*) AS pay_groups_with_contract_in_name FROM paygroup WHERE pay_group_name LIKE '%Contract%';
18|What are the pay groups with IDs between '0d590557' and '565a25f6'?|SELECT * FROM paygroup WHERE id BETWEEN '0d590557' AND '565a25f6';
